"skills","avg_salary"
"tensorflow","96500"
"css","95000"
"html","95000"
"docker","90167"
"c++","90167"
"spring","90167"
"jenkins","90167"
"java","88701"
"php","86333"
"outlook","84500"
"spark","83456"
"c#","82500"
"t-sql","82000"
"mariadb","81500"
"postgresql","81500"
"planner","81000"
"confluence","80000"
"jira","80000"
"matlab","76125"
"javascript","76000"
"sas","75417"
"sharepoint","75000"
"word","74714"
"visual basic","73750"
"aws","72192"
"oracle","71875"
"nosql","70154"
"sql server","66968"
"r","66271"
"sql","66044"
"powerpoint","65964"
"python","65762"
"ssrs","65757"
"ssis","65757"
"hadoop","65357"
"vba","65280"
"ms access","65000"
"crystal","65000"
"sheets","64448"
"looker","64116"
"excel","63958"
"tableau","63423"
"power bi","63237"
"spss","60750"
"npm","60000"
"gcp","58027"
"git","57500"
"express","57500"
"flow","57500"
"ggplot2","57500"
