"skills","avg_salary"
"svn","400000"
"solidity","179000"
"couchbase","160515"
"datarobot","155486"
"golang","155000"
"mxnet","149000"
"dplyr","147633"
"vmware","147500"
"terraform","146734"
"twilio","138500"
"gitlab","134126"
"kafka","129999"
"puppet","129820"
"keras","127013"
"pytorch","125226"
"perl","124686"
"ansible","124370"
"hugging face","123950"
"tensorflow","120647"
"cassandra","118407"
"notion","118092"
"atlassian","117966"
"bitbucket","116712"
"airflow","116387"
"scala","115480"
"linux","114883"
"confluence","114153"
"pyspark","114058"
"mongodb","113608"
"aurora","113394"
"cordova","113270"
"gcp","113065"
"spark","113002"
"splunk","112928"
"databricks","112881"
"unify","112317"
"git","112250"
"dynamodb","111840"
"snowflake","111578"
"shell","111496"
"electron","111175"
"unix","111123"
"hadoop","110888"
"pandas","110767"
"node.js","110230"
"phoenix","109259"
"php","109052"
"neo4j","108646"
"nosql","108331"
"express","108221"
